image,mask
volume-115_256.png,segmentation-115_lesionmask_256.png
volume-18_374.png,segmentation-18_lesionmask_374.png
volume-109_716.png,segmentation-109_lesionmask_716.png
volume-110_424.png,segmentation-110_lesionmask_424.png
volume-96_517.png,segmentation-96_lesionmask_517.png
volume-8_482.png,segmentation-8_lesionmask_482.png
volume-102_620.png,segmentation-102_lesionmask_620.png
volume-84_592.png,segmentation-84_lesionmask_592.png
volume-89_479.png,segmentation-89_lesionmask_479.png
volume-27_339.png,segmentation-27_lesionmask_339.png
volume-85_337.png,segmentation-85_lesionmask_337.png
volume-4_562.png,segmentation-4_lesionmask_562.png
volume-56_197.png,segmentation-56_lesionmask_197.png
volume-100_117.png,segmentation-100_lesionmask_117.png
volume-10_431.png,segmentation-10_lesionmask_431.png
volume-96_168.png,segmentation-96_lesionmask_168.png
volume-45_34.png,segmentation-45_lesionmask_34.png
volume-21_355.png,segmentation-21_lesionmask_355.png
volume-84_615.png,segmentation-84_lesionmask_615.png
volume-90_608.png,segmentation-90_lesionmask_608.png
volume-103_600.png,segmentation-103_lesionmask_600.png
volume-21_196.png,segmentation-21_lesionmask_196.png
volume-52_134.png,segmentation-52_lesionmask_134.png
volume-65_247.png,segmentation-65_lesionmask_247.png
volume-88_587.png,segmentation-88_lesionmask_587.png
volume-62_143.png,segmentation-62_lesionmask_143.png
volume-2_442.png,segmentation-2_lesionmask_442.png
volume-130_140.png,segmentation-130_lesionmask_140.png
volume-115_561.png,segmentation-115_lesionmask_561.png
volume-112_694.png,segmentation-112_lesionmask_694.png
volume-90_141.png,segmentation-90_lesionmask_141.png
volume-39_100.png,segmentation-39_lesionmask_100.png
volume-122_195.png,segmentation-122_lesionmask_195.png
volume-19_501.png,segmentation-19_lesionmask_501.png
volume-14_338.png,segmentation-14_lesionmask_338.png
volume-86_191.png,segmentation-86_lesionmask_191.png
volume-123_383.png,segmentation-123_lesionmask_383.png
volume-18_47.png,segmentation-18_lesionmask_47.png
volume-116_155.png,segmentation-116_lesionmask_155.png
volume-121_163.png,segmentation-121_lesionmask_163.png
volume-40_62.png,segmentation-40_lesionmask_62.png
volume-51_113.png,segmentation-51_lesionmask_113.png
volume-105_750.png,segmentation-105_lesionmask_750.png
volume-97_540.png,segmentation-97_lesionmask_540.png
volume-123_165.png,segmentation-123_lesionmask_165.png
volume-27_837.png,segmentation-27_lesionmask_837.png
volume-100_500.png,segmentation-100_lesionmask_500.png
volume-90_644.png,segmentation-90_lesionmask_644.png
volume-120_263.png,segmentation-120_lesionmask_263.png
volume-82_422.png,segmentation-82_lesionmask_422.png
volume-100_614.png,segmentation-100_lesionmask_614.png
volume-112_51.png,segmentation-112_lesionmask_51.png
volume-64_174.png,segmentation-64_lesionmask_174.png
volume-22_147.png,segmentation-22_lesionmask_147.png
volume-117_428.png,segmentation-117_lesionmask_428.png
volume-16_579.png,segmentation-16_lesionmask_579.png
volume-5_452.png,segmentation-5_lesionmask_452.png
volume-115_668.png,segmentation-115_lesionmask_668.png
volume-92_268.png,segmentation-92_lesionmask_268.png
volume-97_95.png,segmentation-97_lesionmask_95.png
volume-17_383.png,segmentation-17_lesionmask_383.png
volume-7_271.png,segmentation-7_lesionmask_271.png
volume-25_66.png,segmentation-25_lesionmask_66.png
volume-27_573.png,segmentation-27_lesionmask_573.png
volume-8_146.png,segmentation-8_lesionmask_146.png
volume-33_96.png,segmentation-33_lesionmask_96.png
volume-93_302.png,segmentation-93_lesionmask_302.png
volume-9_142.png,segmentation-9_lesionmask_142.png
